"id","species","source"
18430213,"zmays","gfp"
15604678,"zmays","gfp"
22307781,"zmays","gfp"
12913155,"zmays","gfp"
18218975,"zmays","gfp"
10929132,"zmays","gfp"
23175742,"zmays","gfp"
25341533,"zmays","gfp"
24817160,"zmays","gfp"
24985738,"zmays","gfp"
17933905,"zmays","gfp"
15840644,"zmays","gfp"
25203637,"zmays","gfp"
24092882,"zmays","gfp"
24025774,"zmays","gfp"
11230568,"zmays","gfp"
22291199,"zmays","gfp"
17259266,"zmays","gfp"
23543751,"zmays","gfp"
22440334,"zmays","gfp"
18550681,"zmays","gfp"
11641280,"zmays","gfp"
19450586,"zmays","gfp"
16362327,"zmays","gfp"
10330475,"zmays","gfp"
10330467,"zmays","gfp"
20532241,"zmays","gfp"
24089437,"zmays","gfp"
18688729,"zmays","gfp"
20829359,"zmays","gfp"
21638061,"zmays","gfp"
10889237,"zmays","gfp"
21789193,"zmays","gfp"
22654889,"zmays","gfp"
21190064,"zmays","gfp"
18392626,"zmays","gfp"
22915319,"zmays","gfp"
12096094,"zmays","gfp"
23911729,"zmays","gfp"
18923021,"zmays","gfp"
17882422,"zmays","gfp"
10504570,"zmays","gfp"
11874098,"zmays","gfp"
17022830,"zmays","gfp"
24268164,"zmays","gfp"
12750468,"zmays","gfp"
22662764,"zmays","gfp"
23455933,"zmays","gfp"
16243905,"zmays","msms"
16281185,"zmays","msms"
16377746,"zmays","msms"
16602704,"zmays","msms"
18258693,"zmays","msms"
18453340,"zmays","msms"
18521681,"zmays","msms"
18599648,"zmays","msms"
20089766,"zmays","msms"
20701693,"zmays","msms"
21196305,"zmays","msms"
22065420,"zmays","msms"
22192489,"zmays","msms"
22501030,"zmays","msms"
22607058,"zmays","msms"
22833285,"zmays","msms"
23198870,"zmays","msms"
23353019,"zmays","msms"
23508561,"zmays","msms"
23543921,"zmays","msms"
24677780,"zmays","msms"
20408568,"zmays","msms"
14966246,"zmays","msms"
24351685,"slycopersicum","msms"
24773703,"slycopersicum","msms"
25270759,"slycopersicum","msms"
22313117,"slycopersicum","msms"
22902798,"slycopersicum","msms"
26455813,"stuberosum","msms"
26471654,"stuberosum","msms"
26371478,"stuberosum","msms"
26583031,"stuberosum","msms"
25431925,"stuberosum","msms"
25464976,"stuberosum","msms"
22892874,"stuberosum","msms"
22364583,"stuberosum","msms"
22908117,"stuberosum","msms"
28394025,"stuberosum","msms"
20496099,"stuberosum","msms"
27689984,"vvinifera","msms"
23391302,"vvinifera","msms"
27224218,"gmax","msms"
27291164,"gmax","msms"
27780359,"gmax","msms"
21107622,"gmax","msms"
22945350,"gmax","msms"
23041469,"gmax","msms"
21132161,"gmax","msms"
21246215,"gmax","msms"
21766870,"gmax","msms"
19658398,"gmax","msms"
20443193,"gmax","msms"
20458513,"gmax","msms"
20209511,"gmax","msms"
18757068,"gmax","msms"
19073762,"gmax","msms"
19772575,"gmax","msms"
20203239,"osativa","gfp"
18784285,"osativa","gfp"
19938377,"osativa","gfp"
23820081,"osativa","gfp"
24714629,"osativa","gfp"
8246886,"zmays","gfp"
11891300,"zmays","gfp"
12937943,"zmays","gfp"
12900451,"zmays","gfp"
15001699,"zmays","gfp"
15681383,"zmays","gfp"
16460507,"zmays","gfp"
21778179,"zmays","gfp"
21653193,"zmays","gfp"
22706447,"zmays","gfp"
